Col 0	Col 1	Col 2	Col 3	Col 4	Col 5	Col 6	Col 7	Col 8	Col 9	Col 10	Col 11	Col 12	Col 13	Col 14	Col 15	Col 16	Col 17	Col 18	Col 19	Col 20	Col 21	Col 22	Col 23	Col 24	Col 25	Col 26	Col 27	Col 28	Col 29	Col 30	Col 31	Col 32	Col 33	Col 34	Col 35	Col 36	Col 37	Col 38	Col 39	Col 40	Col 41	Col 42
VNG0095G	-3.31044301839369126	-2.84215318562569053	-0.02326862693935433	-0.56211891815354131	-0.36096986822161325	-1.62964061975161978	-0.01207258123426925	-0.69916525288550835	-1.16796236680290288	-0.24846135929849961	-2.84731226843571772	-1.34323487165944355	-1.22077992264231727	-0.14387037041970191	-0.42312004334688508	-0.58698698473155464	-1.13631415585212125	-0.91379385167556781	-0.39156220293917288	-2.74887219562246532	-1.63989711991880882	-0.54472717544167215	-0.12897038129696006	-0.65971240447370794	-2.40461781855919732	-0.56387484485580619	-1.40649706843741007	-0.22564668153232822	-0.47965000629754095	-0.06827884075329438	-1.50058350752201819	-0.47642419704865829	-0.20334092401803011	-0.70724610493944695	-0.03978087001184460	-0.26918748981561652	-0.70319751641344674	-0.10536051565782628	-0.88188930515682273	-0.90634040102098690	-0.34672461308556435	-1.18090753139493998	-2.91507437053653673
VNG0098G	-0.59059059223485311	-0.19967119512906770	-0.48776035083499458	-0.13581972314253485	-0.18874212459687742	-1.62964061975161978	-0.00904074465214907	-0.05551270993025883	-2.75671537308349102	-0.26918748981561652	-0.65008769109949827	-0.00100050033358353	0.00000000000000000	-0.50916034444692948	-0.15548490284039498	-3.25969781938845582	-0.07688104433595762	-1.82015894374975296	-2.00991547903122569	-0.82782208388654688	-0.09761282886700041	-2.83531555214808639	0.00000000000000000	-0.29035230100765980	-0.01612938192988364	-0.08664780672567217	-0.15782408519356722	-0.93140436968420315	-0.17435338714477780	0.00000000000000000	-1.17441400208439162	-1.48722027970985105	-0.57447565084244678	-0.30924625036762149	-0.84164718887838930	-0.19479907830506729	-1.63475572041839023	-0.23825718912425789	-0.31608154697347896	-0.72360638804465394	-0.22941316432780509	-4.01738352108597230	-1.42711635564014583
VNG0117H	-1.12393009665239951	-10.44821472797780082	-0.82782208388654688	-0.93394566711287574	-2.88957207772560043	-1.81400507817537471	-1.20731170559145062	-1.21066179247673267	-2.50225628812311340	-0.13353139262452263	-1.15518264015650396	-0.24334625863172918	-6.30343931212880726	-0.41551544396166579	-1.40649706843741007	-0.62923385481629246	-2.87883852208249147	-0.34389975245000959	-1.03563748950672130	-2.74887219562246532	-0.62362111791133501	-0.69514918323061836	-0.52424864409813143	-2.00248050054370763	-0.15431736038435728	-1.36257783450257453	-5.18856650258891783	-0.69314718055994529	-6.97817774327868268	-0.46203545959655867	-1.27654349716077142	-1.50959257746438413	-1.77195684193187519	-0.33827385856784115	-1.17118298150294509	-0.63676684712383758	-1.89047544216721275	-1.47840965002769620	-0.21072103131565253	-1.04412410338404005	-0.72154665508164328	-0.53785429615391001	-2.52323176410966843
VNG0123G	-0.12329821634449360	-1.51412773262977551	-0.75077629339658170	-0.72567037226550535	-0.01005033585350145	-0.85331593271276662	-0.44161055474451766	-0.38419297283262460	-0.68716510888239779	-0.18632957819149348	-3.05973760352990354	-0.83011303563310268	-0.48450831544861728	-0.21195636192364531	-0.00400802139753882	-1.47403327542789730	-1.37832619147071367	-0.08012604447928486	-1.58963528513792074	-2.74887219562246532	-0.83701755097964725	-2.19822507766980291	-0.52424864409813143	-0.93904771899677120	-0.87707001872087387	-5.83617166270194687	-1.53247687129797217	-1.49610922712709726	-0.04814037532793498	-0.46203545959655867	-0.06081213939675748	-1.50959257746438413	-1.77195684193187519	-0.47803580094299980	-1.17118298150294509	-0.26918748981561652	-1.63475572041839023	-2.11196473338539592	-1.69826912614071612	-0.57625342908844590	-1.09661428600543664	-0.28768207245178090	-2.40794560865187224
VNG0124C	-0.12329821634449360	-1.51412773262977551	-0.75077629339658170	-0.72567037226550535	-0.01005033585350145	-0.85331593271276662	-0.44161055474451766	-0.38419297283262460	-0.68716510888239779	-0.18632957819149348	-3.05973760352990354	-0.83011303563310268	-0.48450831544861728	-0.21195636192364531	-0.00400802139753882	-1.47403327542789730	-1.37832619147071367	-0.08012604447928486	-1.58963528513792074	-2.74887219562246532	-0.83701755097964725	-2.19822507766980291	-0.52424864409813143	-0.93904771899677120	-0.87707001872087387	-5.83617166270194687	-1.53247687129797217	-1.49610922712709726	-0.04814037532793498	-0.46203545959655867	-0.06081213939675748	-1.50959257746438413	-1.77195684193187519	-0.47803580094299980	-1.17118298150294509	-0.26918748981561652	-1.63475572041839023	-2.11196473338539592	-1.69826912614071612	-0.57625342908844590	-1.09661428600543664	-0.28768207245178090	-2.40794560865187224
VNG0132C	-1.16796236680290288	-3.95284499994840122	-1.31676829847128030	-0.45098562340997367	-0.09541018480465818	-1.45671682541643643	-0.52256087998441170	-0.36816932336446756	-1.25176346816228445	-2.95651156040070973	-1.89711998488588129	-0.20456716574127440	-1.02443289049385822	-3.67695088324866237	-0.34814004148889505	-0.06507199674371481	-0.32158362412746233	-0.38272562113867487	-0.62362111791133501	-1.21066179247673267	-0.36672527979223390	-0.89894209353954213	-2.48771057712073462	-0.20825493882045903	-0.87707001872087387	-5.68692535758977780	-2.74575206828622154	-8.39497555869198742	-0.75289718496571933	-6.07920346141598866	-1.25526609871348671	-1.25176346816228445	-0.57447565084244678	-0.50252682095129564	-0.36096986822161325	-0.01918281941677399	-0.48613301117561919	-1.23443201181064466	-1.98050159382493218	-0.21815600980317063	-2.05572501506251992	-1.36257783450257453	-0.74444047494749588
VNG0147C	-0.44005655287778339	-0.19967119512906770	-0.92634106772765645	-0.89894209353954213	-0.56739597525438512	-0.95191790951730615	-1.40242374304977435	-1.61445045425764455	-2.89679232569908729	-1.21402314017943747	-4.69072807434973793	-2.11196473338539592	-4.09835258361963906	-2.43041846450393084	-11.60504075387803447	-1.13943428318836482	-1.48722027970985105	-1.73727128394398522	-0.11991029667255755	-1.38629436111989057	-13.50802585821631396	-2.13707065451647216	-0.88673192963261072	-2.59026716544582669	-0.61803970807313979	-0.91879386209227354	-1.32425897020043792	-0.99425227334386690	-0.30110509278392161	-0.46203545959655867	-1.40649706843741007	-1.50058350752201819	-1.32802545299591479	-3.04492251774476275	-1.13631415585212125	-2.82852435457008466	-5.29831736654803631	-0.45413028008944539	-0.10092591858996053	-0.77435723598548845	-2.88419089882108359	-0.47803580094299980	-3.27280416689375642
VNG0149G	-2.13707065451647216	-1.08470938349911816	-1.24827306322251608	-0.14734058789870913	-1.05843049903527797	-0.95191790951730615	-1.44392347395652698	-1.39432653281715480	-2.89679232569908729	-0.64435701639051324	-4.69072807434973793	-2.93557835073424389	-19.79900693542307977	-3.03239625792558254	-2.61183134336166711	-0.48288625507674926	-1.69826912614071612	-1.73727128394398522	-3.15825120305176599	-1.38629436111989057	-2.60639654737571025	-1.08470938349911816	-3.13269812862714847	-6.58567177981302354	-1.73160554640830799	-0.91879386209227354	-2.35072546832198048	-0.99425227334386690	-0.53785429615391001	-0.46203545959655867	-1.47403327542789730	-1.43548460531066246	-1.23100147671385529	-2.04794287462046487	-0.17435338714477780	-4.50081017066384881	-4.92399898743670938	-0.75289718496571933	-5.87457079563648232	-3.75501925661848146	-4.01738352108597230	-0.47803580094299980	-0.31334181923235860
VNG0158G	-0.18272163681529441	-0.06400532997591243	-0.00200200267067308	-0.60147999203412139	-0.02326862693935433	-0.00200200267067308	-1.36257783450257453	-2.24431618487006990	-2.86821895325503151	-0.64435701639051324	-1.83258146374831021	-0.00200200267067308	0.00000000000000000	-0.01918281941677399	-0.13124828660995402	-0.80296204656715187	-0.02122363645162669	-4.02855682168409768	-0.03666398437159147	-0.82782208388654688	0.00000000000000000	-0.63676684712383758	-0.21815600980317063	0.00000000000000000	-0.00300450902029872	-0.29571424414904518	-1.95192822138087640	-0.11653381625595151	-0.49102299646981101	0.00000000000000000	-1.27654349716077142	-2.56265199841285307	-0.20334092401803011	0.00000000000000000	-0.27707189333976540	-0.02531780798428990	-1.48280526150073433	-0.16841865162496325	-0.01918281941677399	0.00000000000000000	-0.69114917789727226	-1.73727128394398522	-2.52323176410966843
VNG0168H	-1.75446368448435819	-0.16487464319023401	-0.37979736135958653	-0.81193071654991233	-0.91379385167556781	-0.44628710262841947	-0.21691300156357363	-0.01714615883497051	-2.45224586754845220	-0.03459144476961909	-0.70319751641344674	-0.15548490284039498	-0.34814004148889505	-1.63475572041839023	-0.01207258123426925	-0.94160853985844495	-0.46840490788203853	-2.51701670370623409	-2.11196473338539592	-0.82782208388654688	-0.07796154146971181	-0.84629836005412007	-0.88673192963261072	-0.83932969073802677	-0.01409892437950165	-14.64104692656996498	-0.89648810457797545	-0.93140436968420315	-0.03252319170556006	-0.20825493882045903	-1.88387475813586058	-0.88188930515682273	-0.20334092401803011	-0.01005033585350145	-0.18995058395844580	-0.13124828660995402	-1.63475572041839023	-1.93794197940613655	-0.01106094735942495	-1.91732269220340079	-1.84516024595517014	-2.60639654737571025	-1.58474529984372903
