V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43
VNG0095G	0.00000000000000000	0.00045266022179150	0.00080659278061460	0.00255803415092204	0.00079866154186860	0.00073589717517857	0.00135678986279463	0.00000000321568886	0.00003203404360062	0.00291285418640667	0.00159862486410179	0.00013482251184293	0.00027160035751211	0.00177516548776709	0.00000000000000000	0.00025481864679219	0.00000000000000000	0.00009806102552231	0.00000000000000000	0.00145919054445011	0.00000000000751372	0.00000000000000000	0.00166600446411527	0.00086730446977172	0.00000000000000000	0.00000000000000000	0.00018231398006811	0.00001031396087620	0.00042517710714642	0.00000000000000000	0.00001829852124983	0.00081799313741974	0.00039069330751981	0.00059542312097301	0.00085725845288975	0.00082480442131794	0.00017909434015652	0.00210800020342109	0.00020251908694647	0.00225692310411390	0.00022461954225552	0.00123182096892258	0.00075832495043266
VNG0098G	0.00446274125095565	0.00185721407300482	0.00551735249588580	0.00000142360866330	0.00076023455602541	0.00058187264990878	0.00000000000000000	0.00300377167842468	0.00089142206682103	0.00001366007935402	0.00001382706583701	0.00000000000000000	0.00165888373511058	0.00000003431598147	0.00671769779570973	0.00130668633038641	0.00263677662986750	0.00116653991578616	0.00236339920204167	0.00031814033023834	0.00457399308964982	0.00281880935102816	0.00224600380207542	0.00165980510229013	0.00126004272163387	0.00088090865784039	0.00245164746311594	0.00000000000000000	0.00000000000000000	0.00041251618298601	0.00152023250677294	0.00033726080019012	0.00038388380725478	0.00000000000000000	0.00183300295439609	0.00009251693275290	0.00000000000000000	0.00000004260462180	0.00126849976904652	0.00068748376425050	0.00061610020773522	0.00000000700880364	0.00000000000000017
VNG0117H	0.00000000000000000	0.00291177290000662	0.00003317179489244	0.00025487971912110	0.00000000339071984	0.00000003097665228	0.00000000000000000	0.00000000000000000	0.00000000059046251	0.00020285293541240	0.00017066599537593	0.00000000000000000	0.00093495167497162	0.00017156822750403	0.00000000000000000	0.00041166596961468	0.00000000000000000	0.00146204968291325	0.00000000000000000	0.00103586983224380	0.00000002436901394	0.00000000000000000	0.00044905206651894	0.00017700956315058	0.00000000000000000	0.00000000000000000	0.00094739261193331	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00146433547505394	0.00150633357680414	0.00033989472345493	0.00000000000000000	0.00021968036086470	0.00326490901616985	0.00000000000000000	0.00000645880132476	0.00008119336642620	0.00000000205989328	0.00026895304107029	0.00006718071686610	0.00000000002662713
VNG0123G	0.00000000004292827	0.00161395818922973	0.00225089887473127	0.00000061320897972	0.00025831122029161	0.00039608789878612	0.00000000000000000	0.00002379537865236	0.00027813820577622	0.00000880975017071	0.00000759727078397	0.00000000000000000	0.00132620355469279	0.00000001900233840	0.00070727680862773	0.00318182928239884	0.00007383832533041	0.00226090403160334	0.00183901766919292	0.00023763046202392	0.00110773183874252	0.00358526297780439	0.00193357680180838	0.00118116311238364	0.00227993307807832	0.00204472802630877	0.00361527771221663	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00145464363240267	0.00029262606843074	0.00020447523510430	0.00000000000000000	0.00178638735651363	0.00005734773211519	0.00000000000000000	0.00000002706344213	0.00120137869091861	0.00037452401913745	0.00037223707805882	0.00000000231317936	0.00000000000000004
VNG0124C	0.00323771490813369	0.00188324983084915	0.00253819695866500	0.00000078706585732	0.00059346094984770	0.00057442620927017	0.00000000000000000	0.00063221584736369	0.00039543616750478	0.00001639528951538	0.00001843984457713	0.00000000000000000	0.00183073650846479	0.00000003574657183	0.00426135048461098	0.00091796756525283	0.00201001513123862	0.00189300800439165	0.00588765498299339	0.00033877781997205	0.00475088794482065	0.00225026530017719	0.00187177773239206	0.00162489214116369	0.00137398444651120	0.00138012019738750	0.00229134551519060	0.00000000000000000	0.00000000000000000	0.00001345664751950	0.00348323955687104	0.00041412145635400	0.00046346454540219	0.00000000000000000	0.00223936809511178	0.00011446384421006	0.00000000000000000	0.00000005295243595	0.00221511200875922	0.00017902668077103	0.00065794161718854	0.00000000913519424	0.00000000000000022
VNG0132C	0.00023058052030198	0.00125980384106748	0.00061434939391170	0.00000065816228650	0.00019862557206044	0.00025716847542579	0.00000000000000000	0.00283261265783346	0.00054429912991204	0.00001075408859518	0.00000869883153151	0.00000000000000000	0.00080672271324545	0.00000003728530053	0.00230194790565977	0.00098056701692415	0.00000000000000000	0.00049247723820753	0.00204630077542050	0.00017269069596696	0.00028009090794064	0.00000000005051441	0.00123141450460815	0.00121844567236185	0.00007756474931862	0.00000017052122248	0.00079814475935229	0.00000000000000000	0.00000000000000000	0.00000000244400547	0.00146398804362500	0.00025904868479958	0.00026172750426405	0.00000000000000000	0.00164204524375660	0.00005012924235273	0.00000000000000000	0.00000003493336379	0.00069364943985364	0.00068047061199711	0.00046759660718167	0.00000000093181496	0.00000000000000005
VNG0147C	0.00009773680984362	0.00202100047044183	0.00311141572399511	0.00000251239025985	0.00018115165204886	0.00021864790149696	0.00000000000000000	0.00047573472826628	0.00010557383391761	0.00001949547171354	0.00002400982100994	0.00000000000000000	0.00213265466866350	0.00000009244148544	0.00687329279084313	0.00038719915942031	0.00017323334915574	0.00038522636297081	0.00071764265495419	0.00042222307363481	0.00311896257139723	0.00048479860951884	0.00226526162414441	0.00107269598380744	0.00041956518347075	0.00044927445464276	0.00103282453042751	0.00000000000000000	0.00000000000000000	0.00000000000000001	0.00144841415652680	0.00031304277615537	0.00050975591302799	0.00000000000000000	0.00151901083204591	0.00014187279607946	0.00000000000000000	0.00000006640228489	0.00105813571261566	0.00058195677321233	0.00078334152174628	0.00000001442505740	0.00000000000000039
VNG0149G	0.00000000000000000	0.00189132283115126	0.00033158661367350	0.00004935771304927	0.00000019686753926	0.00000049472206784	0.00000000000000000	0.00000009773081114	0.00000009756945489	0.00007814960231063	0.00009679246437925	0.00000000000000000	0.00272971265244504	0.00000074013673279	0.00004107501942621	0.00000447926966161	0.00000000000000000	0.00000466846490955	0.00000000000000167	0.00075943746202688	0.00012255097703540	0.00000000000000000	0.00144682194173624	0.00040308584105000	0.00000000000000000	0.00000000000000000	0.00003058011960228	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00046664723340342	0.00019063998192154	0.00170465638939782	0.00000000000000000	0.00070827915069621	0.00030851206289170	0.00000000000000000	0.00000035204166388	0.00024362624126013	0.00030033748162329	0.00228894469252303	0.00000020380037883	0.00000000000001280
VNG0158G	0.00000000000000000	0.00102228364850769	0.00003699553757465	0.00004848917744547	0.00000000695272678	0.00000003100728323	0.00000000000000000	0.00000000000000000	0.00000176052159111	0.00054866322585645	0.00068624254316647	0.00000000000000001	0.00332676021284153	0.00014262438434425	0.00000000000001176	0.00000219069385423	0.00000000000000000	0.00000715470197426	0.00000000000000000	0.00305016522335191	0.00000002954542772	0.00000000000000000	0.00124038518139291	0.00031576867065804	0.00000000000000000	0.00000000000000000	0.00000694838080679	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000074950372891	0.00360914220700310	0.00094460075157431	0.00000000000001377	0.00041065649315504	0.00250835066848755	0.00000000000000001	0.00004497446871097	0.00131294876103905	0.00000000360614417	0.00140479263466095	0.00256928044720679	0.00000000004882720
VNG0168H	0.00524017333664746	0.00174392297801962	0.00295661418040992	0.00000063703297159	0.00218757756846438	0.00117806290317416	0.00000000000000000	0.00320317356954842	0.00180228943999768	0.00001318407316758	0.00001301068404496	0.00000000000000000	0.00155818301085431	0.00000002753420640	0.00526710368095496	0.00194072656547806	0.00480266115141652	0.00391471143789972	0.00627864812701372	0.00028335669504846	0.00353666134066115	0.00420376670962049	0.00190346542061452	0.00253963769071196	0.00239951162308109	0.00753059063272672	0.00326755080694728	0.00000000000000000	0.00000000000000000	0.00072699055443131	0.00236159158691885	0.00040069531997879	0.00036548549802926	0.00000000000000000	0.00238467266682543	0.00009113636559117	0.00000000000000000	0.00000004261457767	0.00192682112442600	0.00033492639239889	0.00057447991084485	0.00000000555667458	0.00000000000000012
