GENE	Col 0	Col 1	Col 2	Col 3	Col 4	Col 5	Col 6	Col 7	Col 8	Col 9	Col 10	Col 11	Col 12	Col 13	Col 14	Col 15	Col 16	Col 17	Col 18	Col 19	Col 20	Col 21	Col 22	Col 23	Col 24	Col 25	Col 26	Col 27	Col 28	Col 29	Col 30	Col 31	Col 32	Col 33	Col 34	Col 35	Col 36	Col 37	Col 38	Col 39	Col 40	Col 41	Col 42
VNG0303G	-0.171453	2.195822	-5.815974	1.469769	-1.495773	0.441710	2.195822	1.465278	-0.846120	-0.066442	-1.587624	0.295590	-2.056129	-1.953273	0.428321	1.349151	1.574064	-1.451777	1.352149	0.204201	2.025796	1.419209	-2.857136	-0.137608	-2.001498	0.231958	1.242197	0.566610	-2.598607	0.495855	1.539031	-0.113044	0.405059	1.835518	2.174499	1.376695	1.447823	0.598102	1.358079	0.185997	-1.510922	0.801165	1.330506
VNG0315G	0.314154	2.195822	1.273689	-3.390850	1.374730	0.340842	2.195822	-0.163413	1.608763	0.392789	1.221511	0.371864	1.489860	1.404805	0.213187	-3.285677	-0.096329	1.415450	-1.835808	0.202782	-0.908249	-1.681929	1.279174	1.518278	1.738322	1.992439	-3.476726	-0.000460	1.798453	1.923560	-4.921996	0.410314	0.425731	-3.441244	-2.097255	-1.326658	-1.545458	0.127664	-3.328823	0.581962	1.762574	0.786277	-2.268524
VNG0324G	0.441908	2.195822	1.294123	-2.205892	1.390243	0.200864	2.195822	0.029339	1.633804	0.497989	1.211617	0.371360	1.499343	1.420029	0.260516	-2.830243	-0.167716	1.426162	-2.886567	0.408998	-0.293361	-1.894316	1.278926	1.550432	1.747872	1.930398	-2.583540	-0.492028	1.791876	1.963222	-3.002016	0.543958	0.579154	-6.042577	-2.720584	-1.223215	-1.441694	0.170961	-2.781533	0.688295	1.742755	0.935689	-1.757482
VNG0330G	-0.649476	2.195822	-2.223791	1.336311	-2.374205	0.196895	2.195822	1.415441	-2.524565	-0.677631	-2.523591	0.381153	-1.557498	-1.319905	0.438494	1.240984	1.363524	-3.031063	1.229729	-0.119889	1.899623	1.364695	-2.500400	-0.820399	-5.043116	-0.502996	1.171086	0.933357	-2.954365	-0.380550	1.421318	-0.545575	0.140107	1.724005	2.096363	1.272852	1.305705	0.933533	1.226699	-0.375358	-2.555275	0.442306	1.183697
VNG0342G	-0.449751	2.195822	-2.844115	1.400688	-2.028624	0.143387	2.195822	1.464106	-1.753314	-0.438457	-2.769639	0.423879	-2.089942	-1.611929	0.368455	1.284411	1.429930	-2.654150	1.262640	0.008751	1.972096	1.380011	-3.546482	-0.570741	-5.266564	-0.412758	1.202830	0.740379	-4.104804	0.013441	1.468759	-0.327229	0.260145	1.763907	2.124885	1.320001	1.351580	0.786959	1.273440	-0.211898	-2.884604	0.554199	1.241382
VNG0343H	-0.277893	2.195822	-2.227870	1.430195	-1.783824	0.042301	2.195822	1.506335	-1.466457	-0.284634	-3.890169	0.411194	-2.074552	-1.592588	0.461189	1.289940	1.456956	-2.413483	1.239963	0.349045	2.035497	1.366746	-4.260473	-0.244319	-2.900046	-0.944637	1.217175	0.567110	-3.271082	0.151710	1.484791	-0.270310	0.500825	1.767683	2.115821	1.321447	1.353229	0.795398	1.286847	-0.082611	-4.278314	0.804062	1.262201
VNG0367H	1.188390	2.195822	0.800823	1.037356	0.741619	-2.951882	2.195822	1.588883	0.544534	1.109818	0.512355	1.270294	0.411066	0.260421	-0.418208	0.742364	0.530978	0.868467	0.396588	0.386791	1.608268	0.132644	0.638112	-0.439683	0.960451	0.258882	0.690351	-0.034887	1.041040	1.107791	0.740660	1.022117	0.526575	0.848506	0.585833	0.874975	0.391237	-0.995862	0.590955	0.936648	0.848346	-1.302471	0.798038
VNG0378C	0.844562	2.195822	1.100289	-0.172661	1.315042	-0.090971	2.195822	0.033683	1.417123	0.877986	0.986004	1.563314	1.149180	1.238183	-0.264997	-0.162719	-10.237423	1.097834	-0.617861	0.472741	-0.373998	-0.794666	1.055507	1.161855	1.396745	1.501903	-0.435822	-0.761006	1.392651	1.685473	-0.259772	1.249362	0.957848	-1.484878	-1.672638	0.400376	-1.104261	-0.515234	-0.616008	0.725655	1.333946	0.749422	-0.309208
VNG0394C	-1.265952	2.195822	-1.120900	1.123955	-2.660295	0.647965	2.195822	1.135543	-1.519901	-1.295135	-1.322296	-0.471636	-0.255489	-0.469410	0.913211	1.108920	1.339408	-2.920889	1.158464	0.315453	1.678452	1.356156	-1.091440	-0.171322	-1.666795	-0.509171	1.085458	1.315431	-1.704090	-1.868446	1.320371	-2.407507	0.292404	1.625613	2.028418	1.082395	1.252141	1.378121	1.140603	-0.141427	-1.645103	0.944634	1.045479
VNG0399H	0.785920	2.195822	1.237279	-1.818876	1.380359	0.143766	2.195822	0.024917	1.622845	0.828050	1.166438	0.631107	1.405145	1.331192	0.032605	-1.508119	-0.614860	1.402364	-2.242016	0.268443	-0.345767	-4.328121	1.217445	1.384110	1.706254	1.794911	-2.108121	-1.375833	1.668897	2.004302	-1.539137	0.940558	0.530851	-2.208349	-4.520108	-0.610515	-1.135225	-0.391709	-1.799880	0.954208	1.615107	0.754496	-0.941441
VNG0401G	0.084140	2.195822	1.228879	-4.412901	1.303129	0.658056	2.195822	-0.581449	1.537012	0.210993	1.206451	0.106866	1.477157	1.368036	0.525703	-2.837948	0.274474	1.362371	-1.015978	0.372536	-1.773759	-0.988849	1.257709	1.526136	1.691156	2.022674	-2.562037	0.533590	1.785086	1.803436	-2.793069	0.001823	0.492110	-1.703149	-1.222757	-1.704001	-1.138466	0.494159	-1.953313	0.496415	1.762619	0.970600	-2.296639
VNG0402H	0.097426	2.195822	-2.777081	1.496850	-1.208048	-0.013146	2.195822	1.554465	-0.590995	0.131676	-1.938132	0.383559	-2.494664	-2.243429	0.134342	1.349754	1.542190	-1.299271	1.308632	0.137152	2.079567	1.386356	-3.515852	-0.281288	-1.772783	-0.306718	1.244842	0.126506	-7.988892	0.682339	1.540297	0.167299	0.347326	1.818757	2.153944	1.385998	1.440055	0.327449	1.346559	0.325036	-3.013020	0.672711	1.344348
