"VNG2021C"	9	30
"VNG2029H"	14	25
"VNG2032G"	15	27
"VNG2045G"	9	34
"VNG2047G"	8	36
"VNG2063G"	18	22
"VNG2067H"	30	40
"VNG2073C"	15	21
"VNG2088G"	10	13
"VNG2093G"	1	5
"VNG2104G"	30	42
"VNG2115H"	28	35
"VNG2117C"	32	34
"VNG2120G"	12	26
"VNG2123G"	32	34
"VNG2138G"	3	39
"VNG2139G"	3	26
"VNG2141G"	3	26
"VNG2146H"	11	21
"VNG2147G"	21	38
"VNG2150G"	11	29
"VNG2151G"	19	22
"VNG2158G"	26	43
"VNG2167G"	26	36
"VNG2185H"	9	31
"VNG2191H"	4	39
"VNG2193G"	4	39
"VNG2195G"	2	37
"VNG2196G"	11	29
"VNG2197H"	29	42
"VNG2199H"	19	22
"VNG2201G"	5	42
"VNG2217G"	11	29
"VNG2218G"	22	38
"VNG2219G"	22	38
"VNG2220G"	22	38
"VNG2226G"	31	35
"VNG2244H"	24	37
"VNG2248H"	18	36
"VNG2259C"	30	42
"VNG2273H"	7	12
"VNG2299H"	37	38
"VNG2301G"	11	12
"VNG2342H"	2	37
"VNG2343G"	26	41
"VNG2344G"	4	39
"VNG2346G"	26	41
"VNG2347G"	2	37
"VNG2349G"	2	4
"VNG2361G"	18	27
"VNG2371C"	9	15
"VNG2372G"	33	39
"VNG2383G"	4	39
"VNG2385H"	13	18
"VNG2393G"	3	41
"VNG2394G"	15	27
"VNG2400H"	12	22
"VNG2410G"	24	39
"VNG2411G"	16	23
"VNG2420G"	15	43
"VNG2422G"	18	21
"VNG2424G"	5	42
"VNG2441G"	4	24
"VNG2442H"	7	12
"VNG2447G"	18	36
"VNG2462G"	18	41
"VNG2465C"	39	41
"VNG2473G"	11	12
"VNG2482G"	15	27
"VNG2499G"	3	26
"VNG2507G"	33	38
"VNG2508C"	33	38
"VNG2524H"	5	18
"VNG2527G"	31	38
"VNG2529G"	3	26
"VNG2531G"	29	37
"VNG2549C"	13	41
"VNG2552G"	13	18
"VNG2556H"	29	42
"VNG2558G"	37	38
"VNG2560G"	5	37
"VNG2562H"	5	42
"VNG2563H"	5	30
"VNG2567C"	2	41
"VNG2575G"	21	28
"VNG2576H"	16	21
"VNG2577C"	28	33
"VNG2581H"	17	43
"VNG2582H"	13	17
"VNG2603H"	31	38
"VNG2604G"	33	38
"VNG2606G"	31	38
"VNG2616G"	26	37
"VNG2624G"	9	32
"VNG2625C"	20	34
"VNG2661G"	2	41
"VNG2664G"	3	19
"VNG2679G"	41	43
"VNG5008H"	9	13
"VNG5010G"	40	42
"VNG5030G"	14	34
"VNG5033G"	28	33
"VNG5050H"	23	36
"VNG5055G"	5	42
"VNG5061C"	7	21
"VNG5068G"	7	14
"VNG5071C"	14	34
"VNG5083H"	23	32
"VNG5108H"	14	25
"VNG5120H"	5	42
"VNG5137H"	8	36
"VNG5145H"	20	35
"VNG5173H"	8	23
"VNG5175H"	17	43
"VNG5176C"	17	43
"VNG5177C"	17	43
"VNG5178H"	7	17
"VNG5180G"	17	30
"VNG5181G"	7	17
"VNG5183G"	8	36
"VNG5185H"	13	18
"VNG5195H"	14	25
"VNG6133H"	18	36
"VNG6145H"	18	42
"VNG6158H"	13	18
"VNG6159H"	9	34
"VNG6163H"	15	27
"VNG6168H"	13	27
"VNG6177G"	17	40
"VNG6181H"	23	34
"VNG6182H"	1	8
"VNG6188H"	16	21
"VNG6194H"	9	34
"VNG6195H"	1	23
"VNG6198H"	13	32
"VNG6201G"	8	36
"VNG6203H"	15	27
"VNG6210G"	11	12
"VNG6211G"	5	42
"VNG6212G"	30	31
"VNG6232G"	15	27
"VNG6235G"	15	27
"VNG6237G"	15	27
"VNG6240G"	15	27
"VNG6251H"	13	33
"VNG6262G"	8	30
"VNG6264G"	9	26
"VNG6265G"	2	40
"VNG6294G"	8	30
"VNG6299G"	9	26
"VNG6315G"	8	28
"VNG6316G"	8	16
"VNG6320C"	3	41
"VNG6322H"	14	34
"VNG6325H"	13	26
"VNG6332H"	8	23
"VNG6372H"	8	23
"VNG6407H"	15	40
"VNG6420H"	6	25
"VNG6429H"	20	25
"VNG6441H"	1	23
