"VNG1782C" 21 18
"VNG1811G" 11 33
"VNG1830G" 22 19
"VNG1832H" 1 21
"VNG1838H" 20 36
"VNG1865H" 9 34
"VNG1874C" 15 21
"VNG1889H" 23 43
"VNG1890H" 6 39
"VNG1898C" 9 34
"VNG1907H" 3 25
"VNG1912G" 28 43
"VNG1925H" 9 24
"VNG1933G" 40 29
"VNG1938C" 32 42
"VNG1948H" 6 30
"VNG1969G" 1 26
"VNG1997G" 15 13
"VNG2001G" 33 36
"VNG2005G" 17 26
"VNG2006C" 17 19
"VNG2008H" 8 19
"VNG2020C" 17 39
"VNG2021C" 14 8
"VNG2029H" 21 25
"VNG2032G" 36 41
"VNG2045G" 13 39
"VNG2047G" 19 22
"VNG2063G" 12 24
"VNG2067H" 26 9
"VNG2073C" 32 24
"VNG2088G" 30 33
"VNG2093G" 27 28
"VNG2104G" 8 37
"VNG2115H" 22 25
"VNG2117C" 6 31
"VNG2120G" 8 41
"VNG2123G" 1 6
"VNG2138G" 3 14
"VNG2139G" 7 34
"VNG2141G" 14 29
"VNG2146H" 3 30
"VNG2147G" 28 29
"VNG2150G" 28 9
"VNG2151G" 12 43
"VNG2158G" 10 33
"VNG2167G" 16 31
"VNG2185H" 39 37
"VNG2191H" 7 29
"VNG2193G" 12 40
"VNG2195G" 5 43
"VNG2196G" 7 34
"VNG2197H" 5 34
"VNG2199H" 24 43
"VNG2201G" 24 9
"VNG2217G" 12 37
"VNG2218G" 29 34
"VNG2219G" 12 30
"VNG2220G" 34 37
"VNG2226G" 28 37
"VNG2244H" 7 12
"VNG2248H" 18 27
"VNG2259C" 37 43
"VNG2273H" 14 10
"VNG2299H" 34 37
"VNG2301G" 3 27
"VNG2342H" 34 37
"VNG2343G" 4 40
"VNG2344G" 14 34
"VNG2346G" 11 10
"VNG2347G" 12 34
"VNG2349G" 7 43
"VNG2361G" 2 36
"VNG2371C" 10 35
"VNG2372G" 11 40
"VNG2383G" 29 33
"VNG2385H" 10 11
"VNG2393G" 11 40
"VNG2394G" 10 42
"VNG2400H" 6 28
"VNG2410G" 29 34
"VNG2411G" 19 22
"VNG2420G" 2 23
"VNG2422G" 11 20
"VNG2424G" 35 34
"VNG2441G" 7 43
"VNG2442H" 7 28
"VNG2447G" 27 20
"VNG2462G" 11 40
"VNG2465C" 14 7
"VNG2473G" 4 29
"VNG2482G" 32 20
"VNG2499G" 11 40
"VNG2507G" 9 28
"VNG2508C" 28 37
"VNG2524H" 16 36
"VNG2527G" 30 43
"VNG2529G" 4 14
"VNG2531G" 30 37
"VNG2549C" 23 42
"VNG2552G" 33 36
"VNG2556H" 5 37
"VNG2558G" 7 28
"VNG2560G" 29 38
"VNG2562H" 11 42
"VNG2563H" 14 38
"VNG2567C" 5 7
"VNG2575G" 1 22
"VNG2576H" 15 17
"VNG2577C" 1 30
"VNG2581H" 13 36
"VNG2582H" 2 40
"VNG2603H" 28 34
"VNG2604G" 12 28
"VNG2606G" 30 43
"VNG2616G" 29 34
"VNG2624G" 17 25
"VNG2625C" 1 17
"VNG2661G" 4 20
"VNG2664G" 14 40
"VNG2679G" 10 33
"VNG5008H" 5 38
"VNG5010G" 7 34
"VNG5030G" 17 21
"VNG5033G" 25 17
"VNG5050H" 25 26
"VNG5055G" 38 36
"VNG5061C" 1 22
"VNG5068G" 3 21
"VNG5071C" 31 39
"VNG5083H" 19 25
"VNG5108H" 1 25
"VNG5120H" 14 24
"VNG5137H" 26 35
"VNG5145H" 22 25
"VNG5173H" 15 22
"VNG5175H" 33 39
"VNG5176C" 2 20
"VNG5177C" 13 36
"VNG5178H" 1 8
"VNG5180G" 3 8
"VNG5181G" 3 15
"VNG5183G" 16 25
"VNG5185H" 11 39
"VNG5195H" 15 19
"VNG6133H" 11 16
"VNG6145H" 18 42
"VNG6158H" 14 33
"VNG6159H" 25 39
"VNG6163H" 32 36
"VNG6168H" 11 36
"VNG6177G" 9 41
"VNG6181H" 2 25
"VNG6182H" 16 26
"VNG6188H" 1 8
"VNG6194H" 2 33
"VNG6195H" 19 31
"VNG6198H" 13 36
"VNG6201G" 22 26
"VNG6203H" 20 42
"VNG6210G" 8 27
"VNG6211G" 18 34
"VNG6212G" 18 34
"VNG6232G" 11 42
"VNG6235G" 32 42
"VNG6237G" 4 20
"VNG6240G" 20 32
"VNG6251H" 4 38
"VNG6262G" 8 22
"VNG6264G" 31 15
"VNG6265G" 19 15
"VNG6294G" 17 8
"VNG6299G" 11 33
"VNG6315G" 22 26
"VNG6316G" 22 26
"VNG6320C" 4 40
"VNG6322H" 17 22
"VNG6325H" 11 10
"VNG6332H" 22 26
"VNG6372H" 19 26
"VNG6407H" 9 41
"VNG6420H" 1 15
"VNG6429H" 15 17
"VNG6441H" 19 26
