VNG1261H	23
VNG0050C	28
VNG6158H	7
VNG2020C	22
VNG6265G	34
VNG1566G	29
VNG6441H	16
VNG1811G	38
VNG2558G	23
VNG6325H	40
VNG1554G	30
VNG0604H	33
VNG2507G	3
VNG0439C	22
VNG2577C	43
VNG1706G	10
VNG0483C	35
VNG1189H	3
VNG5180G	21
VNG2344G	25
VNG2531G	29
VNG0168H	31
VNG2001G	33
VNG0028C	12
VNG1698G	18
VNG1105G	8
VNG5083H	16
VNG1561C	23
VNG5120H	13
VNG5175H	21
VNG1697G	10
VNG0254G	25
VNG6294G	39
VNG2146H	3
VNG6372H	16
VNG2219G	23
VNG1890H	35
VNG0249G	23
VNG2006C	31
VNG1123G	34
VNG0021H	17
VNG2220G	23
VNG0285C	35
VNG0226G	27
VNG1524C	18
VNG1133G	8
VNG5008H	41
VNG6322H	27
VNG0550G	4
VNG2120G	41
VNG0486G	26
VNG1249C	31
VNG2394G	33
VNG0042G	36
VNG0451G	29
VNG1715G	1
VNG1458G	33
VNG6211G	29
VNG6133H	2
VNG2008H	31
VNG1490H	5
VNG1772G	39
VNG2361G	6
VNG1969G	31
VNG0812G	42
VNG1663C	29
VNG0426G	35
VNG0870G	7
VNG1550G	23
VNG1007H	28
VNG1702G	30
VNG0702H	5
VNG0303G	3
VNG1617H	20
VNG2625C	34
VNG2150G	29
VNG2462G	9
VNG0192G	30
VNG2005G	31
VNG2624G	22
VNG5108H	31
VNG1025H	26
VNG1912G	41
VNG1062G	27
VNG6420H	31
VNG0924G	23
VNG0095G	25
VNG0499G	12
VNG1690G	30
VNG1182H	29
VNG0049H	28
VNG0132C	19
VNG6198H	2
VNG2410G	23
VNG0245G	35
VNG1695G	30
VNG6264G	19
VNG1438H	27
VNG1088C	5
VNG1555G	11
VNG1718G	1
VNG0399H	22
VNG1218C	22
VNG2193G	25
VNG5068G	4
VNG1711G	30
VNG1202C	28
VNG2576H	31
VNG0482H	38
VNG1705G	30
VNG1382H	7
VNG0117H	2
VNG1343C	21
VNG1727G	34
VNG5033G	43
VNG0367H	6
VNG6159H	35
VNG2371C	6
VNG2385H	6
VNG0836H	15
VNG6181H	35
VNG1139G	30
VNG6201G	36
VNG1053G	10
VNG0816G	42
VNG2147G	3
VNG2088G	10
VNG1933G	11
VNG0769H	16
VNG0659H	27
VNG2499G	11
VNG1313G	13
VNG0527C	17
VNG0467G	31
VNG1379G	34
VNG0537C	29
VNG0681G	29
VNG1635G	5
VNG0248C	23
VNG2661G	30
VNG1224G	31
VNG1664H	41
VNG1021C	24
VNG2603H	23
VNG1533H	34
VNG1394H	33
VNG1143G	18
VNG1642H	43
VNG0818C	12
VNG2259C	29
VNG2139G	9
VNG2115H	34
VNG6316G	31
VNG0147C	4
VNG2606G	23
VNG1420H	27
VNG2244H	23
VNG0919G	14
VNG0330G	25
VNG2383G	25
VNG1103G	8
VNG1760G	11
VNG1889H	3
VNG1773G	43
VNG6251H	26
VNG1865H	29
VNG2301G	29
VNG6212G	29
VNG6299G	28
VNG0864G	29
VNG5173H	16
VNG1551G	30
VNG2197H	29
VNG1036H	20
VNG0703H	4
VNG1058H	27
VNG2021C	26
VNG2424G	14
VNG1176G	14
VNG5176C	8
VNG1408G	25
VNG2562H	14
VNG1558H	18
VNG1542G	29
VNG0925C	23
VNG0729H	27
VNG1012H	35
VNG0674C	14
VNG0999H	34
VNG1948H	22
VNG0734G	16
VNG2679G	32
VNG0549G	4
VNG1589C	20
VNG1701G	10
VNG1085H	29
VNG5178H	4
VNG2047G	36
VNG0394C	5
VNG1008G	32
VNG2201G	29
VNG2575G	31
VNG6145H	14
VNG0452G	23
VNG0491G	18
VNG1716G	10
VNG1326H	14
VNG1350C	34
VNG6177G	20
VNG6195H	34
VNG2527G	23
VNG2346G	30
VNG1832H	27
VNG0194H	25
VNG0034H	38
VNG0837H	2
VNG2567C	30
VNG0324G	34
VNG1013G	20
VNG1068G	30
VNG0628G	26
VNG1500H	35
VNG1774G	21
VNG2447G	12
VNG1414G	29
VNG2411G	16
VNG1471C	31
VNG6188H	31
VNG1526H	24
VNG0539C	24
VNG0098G	31
VNG2420G	38
VNG0402H	29
VNG0947G	38
VNG1142G	30
VNG6320C	9
VNG2393G	9
VNG2138G	11
VNG5185H	33
VNG2199H	41
VNG2549C	30
VNG1349C	39
VNG2217G	29
VNG1435G	39
VNG0410G	34
VNG0176H	31
VNG0406C	35
VNG1263C	41
VNG5181G	21
VNG1874C	4
VNG2508C	3
VNG1719G	10
VNG0716G	39
VNG1564H	18
VNG5145H	34
VNG1473H	4
VNG0794G	14
VNG5010G	29
VNG0700G	8
VNG0342G	25
VNG5071C	27
VNG2342H	23
