Gene	Cond0	Cond1	Cond2	Cond3	Cond4
VNG0491G	-0.873913	0.000000	0.032978	1.835766	-0.126415
VNG0550G	-0.053466	0.000000	0.038190	-2.008793	0.603402
VNG2664G	-0.820616	0.152504	0.000000	1.844570	-0.261435
VNG0028C	-0.175662	-1.942619	0.000000	0.712983	0.123997
VNG2507G	-0.411947	0.000000	-0.114962	2.098053	0.191603
VNG1202C	1.165297	0.838578	0.000000	-1.372219	-0.283156
VNG2001G	0.000000	-0.800271	-2.110605	0.070353	0.360562
VNG0176H	0.000000	-0.099563	0.082969	-2.090815	0.423141
VNG2021C	0.000000	0.302991	-0.186456	1.786869	-0.932280
VNG1471C	0.090388	-0.058752	0.000000	-2.169316	0.194335
VNG0192G	-1.596368	0.000000	0.055047	1.155991	-0.528453
VNG0991H	0.847097	-0.645987	0.000000	-1.834360	0.048754
VNG0415G	0.332414	0.000000	-1.572574	0.894961	-0.984457
VNG1550G	-0.302164	0.000000	0.271947	2.175579	-0.025180
VNG0925C	-0.217004	0.211139	0.000000	2.140716	-0.228734
VNG1442G	0.410582	-0.100364	0.000000	-2.080280	0.145985
VNG2661G	-1.576172	0.158498	0.000000	1.223955	-0.096860
VNG5061C	-0.035208	0.000000	0.246457	-2.068474	0.343279
VNG1041H	0.513100	0.000000	-1.918017	-0.794084	0.342067
VNG2575G	0.000000	-0.006934	0.062407	-2.101043	0.374443
VNG6163H	0.568799	0.113760	-2.024925	0.000000	-0.204768
VNG5181G	0.000000	-0.107749	0.195296	-1.663383	1.107799
VNG2549C	-1.814473	0.102706	-0.582001	0.873001	0.000000
VNG0870G	0.929361	1.051645	0.000000	-0.285330	-1.402193
VNG2195G	-0.366078	0.308654	0.000000	2.153403	-0.014356
VNG1500H	0.753281	-0.091615	0.000000	-1.883202	0.254487
VNG0498C	0.374573	0.000000	-0.364968	1.728796	-0.931629
VNG5010G	0.168061	-0.069684	-0.217249	2.184790	0.000000
VNG1589C	0.494503	0.000000	-2.018380	-0.484411	0.252298
VNG5120H	0.000000	0.815703	-0.454463	1.957688	-0.314628
VNG1025H	0.000000	0.331940	-1.012841	1.438405	-0.893683
VNG2582H	-0.233186	0.000000	0.932742	-1.326243	1.173215
VNG2167G	0.000000	0.759145	-0.012445	-1.904084	0.118227
VNG0467G	0.218721	0.000000	-0.003472	-2.107357	0.239551
VNG1874C	0.000000	-0.205574	0.041115	-2.048892	0.555051
VNG1141G	-1.493436	-0.191671	0.007986	1.325724	0.000000
VNG1907H	0.000000	-0.167899	0.190286	-1.858086	0.828303
VNG6429H	0.491106	-0.154185	0.000000	-2.067215	0.079948
VNG1719G	-2.052271	0.000000	-0.196793	0.506039	0.126510
VNG2123G	0.743525	0.000000	-0.104722	-1.937353	0.036653
VNG1085H	0.065570	-0.368831	-0.057374	2.114633	0.000000
VNG2679G	-1.572434	-0.683107	0.000000	0.206221	1.095548
VNG1933G	-0.625876	0.143273	0.000000	1.915332	-0.377034
VNG1912G	0.252768	0.000000	-0.044937	2.106399	-0.443748
VNG1249C	0.019377	-0.058131	0.000000	-2.189595	0.187311
VNG5177C	0.000000	-0.035919	1.041657	-1.056025	1.487055
VNG1308G	-0.506486	0.000000	0.441367	1.968061	-0.376247
VNG5195H	0.190915	-0.257513	0.000000	-2.006825	0.568304
VNG1062G	0.538042	-0.190698	0.000000	-1.954657	0.388207
VNG2196G	-0.092700	0.000000	-0.057937	2.207418	0.049247
VNG0836H	1.003055	0.450089	-1.646038	0.000000	-0.385790
VNG2531G	-0.150993	0.075497	0.000000	2.201016	-0.034845
VNG0194H	-0.725344	-0.139266	0.000000	1.920712	0.029014
VNG2032G	0.561600	0.000000	-1.907321	-0.116559	0.476830
VNG1394H	0.000000	-1.504533	-1.756423	0.102118	0.401663
VNG1012H	0.782657	0.079980	-0.131395	-1.908082	0.000000
VNG0924G	-0.205653	0.048707	0.000000	2.181009	-0.021648
VNG1324C	0.189680	-0.134883	0.000000	-2.078048	0.396220
VNG6299G	1.632472	0.919885	0.000000	-0.893973	-0.272079
VNG1458G	0.577549	-1.084171	-1.884633	0.000000	0.081059
VNG1832H	0.498267	-0.149480	0.000000	-1.883448	0.597920
VNG6203H	0.000000	-0.619160	-2.167061	0.293286	0.073322
VNG5178H	0.043247	-0.059464	0.000000	-1.973126	0.670322
VNG0700G	-0.028345	0.000000	1.149243	-1.115745	1.339925
VNG0394C	-1.239974	-0.584893	0.000000	1.462233	0.046791
VNG1125G	-0.696565	-0.245552	0.000000	1.909289	0.010023
VNG1182H	0.000000	0.080296	-0.278359	2.151928	-0.058884
VNG5183G	0.086736	-0.439099	0.016263	-2.271388	0.000000
VNG2151G	-0.479725	0.046640	0.000000	2.025506	-0.213211
VNG1760G	-0.656406	0.077224	0.000000	1.940259	-0.231673
VNG6372H	0.208906	-0.405524	0.000000	-2.181229	0.153608
VNG5185H	0.466425	-0.834183	-1.506911	0.986668	0.000000
VNG1183H	-0.321720	0.521187	-0.045041	2.168393	0.000000
VNG1105G	0.000000	-0.551519	0.595060	-0.943387	1.596502
VNG1773G	-0.569042	0.142261	0.000000	-2.145764	0.296376
VNG5176C	0.000000	-0.177331	0.866502	-1.148619	1.446857
VNG6158H	0.000000	1.367228	0.046610	-0.512710	-1.382765
VNG1664H	-0.043320	0.129960	0.000000	2.115455	-0.397099
VNG0559G	0.153284	-0.054391	0.000000	-2.180583	0.093948
VNG2410G	-0.500355	-0.059566	0.214438	2.072898	0.000000
VNG1663C	0.000000	0.100146	-0.168427	2.130378	-0.264021
VNG0483C	0.772025	-0.083916	0.000000	-1.913280	0.067133
VNG0937G	0.354905	0.000000	0.063094	-2.145207	-0.563905
VNG1699C	-2.027431	0.000000	0.349321	-0.698642	0.335622
VNG0132C	0.000000	0.241211	0.042212	-2.201053	-0.615089
VNG2029H	0.319351	0.000000	-0.083309	-2.006354	0.458199
VNG0703H	-0.225464	0.000000	0.601237	-1.741081	0.789123
