"GENE"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"
"VNG1933G"	-1.4550285271739	0	0	-1.5166188740527	0	-1.61639593496559	0	0	0	0	-1.43131377134924	-1.58614664643838	-1.66923503139866	-1.49215942396152	0	0	0	0	-1.84978792419431	-1.66296090375467	0	0	0	0	-1.3674132475662	0	0	0	-1.4295666584685	-1.74728872697755	-1.64051227044742	0	0	-1.43697865923514	0	0	0	-1.59670105023799	0	-1.58326985417768	-1.52500350779433	0	-1.57943526455748
"VNG1938C"	0	-1.87478314838846	0	-1.51042766561946	0	-1.91944139282387	0	-1.61051193326747	0	0	-1.43508993410693	0	-2.13717544855413	-1.54934912743706	-2.20932782320044	0	-1.95141557938519	-1.91219072945096	-1.52281396377473	0	-1.56830225478269	0	0	-2.45002195485177	-1.72301778380532	-1.7933205512156	0	-1.94538669801172	-1.82012560135975	0	0	-1.91267285830869	-1.49406036905254	-1.76680461123294	-2.26359912394101	-1.59286994778725	-1.89949856326014	0	-1.69774583265887	-1.58422870422173	-1.5455264278086	0	-1.58566713066438
"VNG1948H"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VNG1969G"	-1.47919666500058	-1.67020053993628	0	0	0	-1.58135239695912	-1.42942633677261	0	-1.76244884891561	0	0	0	0	0	0	0	-1.38850432793511	0	0	0	0	0	0	0	-1.70661294485649	-1.41306997064469	0	0	-1.41165754548238	-1.41495359498223	0	-1.90479208092272	-1.82911806999677	0	0	-1.53973807664691	-1.57500697842748	-1.96123793869004	-1.69290942993906	0	-1.49976549991401	-1.58123640068163	0
"VNG1997G"	0	-2.21208841144722	-2.17236263460099	-2.41294899635835	-2.70644698252898	-2.65075032169731	-2.16575032496531	-1.5884284572023	-2.07228763164923	-2.18468861356205	-2.11772407481916	-1.98773087461888	-2.30267954342653	-2.05022617377759	-1.79106531445555	-1.87937492588598	-2.24845113147844	-2.08573290556315	-2.26274436832095	-2.35945276903476	-2.27755539178975	-2.00793497019795	-2.57700786578948	0	-1.44692141759844	-1.86634030850169	-2.19986592200642	-1.60378649473595	-2.16893788958585	-2.30484595127943	-2.20483307830647	-2.06989416805228	-2.42214300058085	0	0	-1.87129605961495	-2.27296035784652	-2.42374422683304	-1.85426699772296	-2.37315204114987	-2.71930598447446	-2.61832030182331	-2.17767861869523
"VNG2001G"	-1.88168676753083	0	-1.81641447369128	-1.67737868537886	-2.32429609627776	-2.21312686765063	-2.15080050691138	-2.17089271195163	0	0	-2.0419304551982	-1.65154067089628	-1.67261461057072	-1.83253156796655	-2.20244017320762	0	-1.90613566874269	0	0	0	-1.73362326758178	-2.31150302858049	-2.11238349956414	0	0	-2.09409815279165	-2.17103024174277	-2.19899948914711	0	-1.87097966117234	-1.63762247634866	-1.73216868538991	-1.66318161263254	-1.76535187980759	-1.80131546629521	0	-1.91494515767548	0	-1.7132331555187	-1.61543445865508	-1.95693535154558	-2.0649669831991	-1.65154067089628
"VNG2005G"	-2.37155087482329	-2.21791996128459	0	-2.63157079177969	-2.66350605744443	-2.50833070038928	-2.16587832458256	-2.40731938700686	-2.26943003752807	-2.21292496512243	-2.17018253164751	-2.14072990653934	-2.6533184799709	-2.19144446535492	-2.29293431257699	-1.97539211757479	-2.17649531147021	-2.11580595626774	-2.62388499003122	-2.07205416410233	-1.94072044532395	-2.47403313881897	-2.31731090646467	-2.52642528263982	-1.69846490049246	-1.83567820950684	-2.11099353351025	-2.52761574252761	-2.42813784488128	-2.49377746677525	-1.97814519569625	-2.39789820510824	-2.41168343506549	-2.129524191983	-1.82762499268129	-2.03959984907542	-2.43687144333057	-2.43126568479711	-2.41758166400107	-2.3706361355125	-2.44430301960537	-2.57887189282356	-2.49861467811847
"VNG2006C"	-1.51628276375165	-2.00439921264784	0	-2.18322853157516	-2.1441571861651	-1.65539801531973	-2.29278737330994	-6.42921139251312	0	-2.1567909518012	-1.71080138505909	-1.62216638255556	-2.40940338095581	-2.20371188650452	-1.82369584367274	0	-2.03007122886798	-1.76342039423831	-6.57792490930477	-1.89972283973655	-2.25400106810359	-1.86367485393167	0	0	-1.82575545804825	-1.89944508183928	0	-1.99687779714749	-1.53493419874568	-1.99365799327636	-2.09533563886511	-2.23848169851084	-1.56369646988546	-1.47246970457401	-1.82664989784748	0	-1.5706963333396	-2.07936583889618	-1.66103099149266	-2.09633861208403	-1.50357081974649	-2.01844648978231	-1.94039894238773
"VNG2008H"	-1.52104771392092	-1.8464568347692	-1.90774604302821	-1.55767175100946	0	0	-1.78359450850663	0	0	0	-1.73890847232886	0	-1.8035578981745	-1.8432640616104	0	0	-6.10258193255458	0	-6.34351902415143	-1.67068331989037	-2.17826610687328	-1.94643101344084	-1.95350605510321	0	-1.36928555206697	-1.66985058556289	-1.80620291913505	-1.91987094592492	-1.78572089148795	-1.51586161425296	-2.33816805597088	0	0	-1.4634649777066	0	0	-1.61051193326747	0	0	-1.89156366647154	-1.83866908872769	-1.57884006069533	-1.58039379008175
"VNG2020C"	-1.47113334774103	0	0	0	0	0	-1.51095756068472	-1.78948149814743	0	0	0	-1.63901218842222	0	-1.95666622798392	0	0	-1.38662713338489	0	-1.66675626882753	0	0	-1.5342720144214	0	-1.78671736131395	0	0	-2.12946070391831	-1.58507159958353	0	-1.77999715747132	-1.68103627897518	0	0	0	0	-1.53544159685374	-1.65142400335418	-1.6761503472759	0	0	0	0	-1.66118614292892
"VNG2021C"	0	-1.67841011428748	-1.84567325136321	-1.89737297305628	-2.17269551934989	-1.93100513167691	-1.9625208795933	-1.61195358989745	-1.71685274681639	-2.04775216154169	-1.49906181502377	-1.932192647166	-1.67599502464527	-1.53168087857338	0	-1.88915384091559	-1.593676880457	0	-1.85907172615207	-1.72825188926233	-1.57309092986239	-1.37906102461855	-1.95056359183503	-2.07422934228371	0	0	0	-1.55968789751379	-1.41872217760252	-1.9614671968688	-2.18719619158726	-1.90000377946063	-1.49928994141524	-1.45068459653697	0	-1.54260338643849	-1.64130399028976	-1.58566713066438	-1.89825499598793	0	-1.54504868796622	-1.90293563662158	0
"VNG2029H"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VNG2032G"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VNG2045G"	-2.29308668785968	-1.68130877772041	-2.18307154539971	-1.5085234663478	-2.05465963036905	-2.13456876508733	-2.17979043359465	-2.12924849829889	-2.08819616598445	-1.66392596410167	-2.27319068420728	-1.75994622322232	-1.85426699772296	-2.22034269746806	-2.5306515376818	-2.22357722379624	-2.24154982148298	-2.10356879616918	-6.36624652334269	0	-2.40304308433471	-6.29257107550922	-1.95350605510321	0	-1.81592425518207	-1.92125062077607	-2.12356839153783	-2.30014775731608	-2.15474610745307	-2.39994078776338	-2.23522169310087	-1.55538328264065	-2.20391984007131	-1.49430765330536	0	-1.53210113049581	-2.41253542937907	-2.32825973951888	-1.69629474070979	-2.17881412695989	-1.91115296142111	-1.96124318862866	-2.21538393627919
"VNG2047G"	-1.5692979331523	0	0	-1.52376739609456	-1.67185944475512	-1.98365728524102	-1.46867713310568	-2.04816181654362	0	-2.22848942218286	-1.46583376010846	-1.59046319140529	-6.14172720950521	-1.49073396765775	0	0	-1.36600933837239	-1.7139469242963	-1.89852920091776	0	-1.5754860419876	-1.42136712759159	0	-1.73086853502954	-1.95919544841169	-1.82454259052923	-1.7653431259221	-1.80651842887415	-1.74607399385343	-1.53254815826136	-1.70521448659577	0	-1.58381438405731	-1.43272963067578	-1.82080039418186	0	0	-1.95176047030482	-6.14172720950521	-1.59382162206655	0	0	-1.92312367983914
"VNG2063G"	0	-2.18597486313136	0	-1.58305083027042	-2.23446577534938	-2.02017763884701	-2.50042212635781	-1.56734476892163	-2.70170898356884	-1.76367592860433	-1.88057418681467	-2.23777363188957	0	-1.87956455878504	-1.75995261193964	-2.60841876302528	-1.72934245907676	-1.69700768386385	0	0	-1.93258606270313	-2.03153372859984	-2.00456346668066	-1.7857444750562	-1.37396843071978	-2.11416553384762	-1.76485728960804	-2.27492665176821	-1.96057574447088	-2.26234237919043	-1.70811859679375	-1.93593788593037	-1.89181088869092	-2.32638805588051	-1.84420924978029	-2.09215000020448	-2.18449961194218	-2.18178586575755	-1.72195189531304	-2.03426237119644	-2.14474032550693	-2.0971987681518	-2.35343731871585
"VNG2067H"	-2.02468609807444	-1.66296090375467	0	-1.8653038031127	-2.06764854068537	-1.59238217534019	-1.85982539841535	-1.66203431440649	0	0	-1.77962929741871	-2.05806345215049	-1.69242587953173	-1.49453566530367	-1.61015402318242	-2.15367725737133	-1.43133371308288	0	-2.1571780795518	-2.02458320084303	0	-2.00879545536497	0	-2.36440993688881	-2.07855183597153	-1.81904864817618	0	-1.5706963333396	-1.94779822883462	-2.12288794752093	-2.18110841770174	-2.26154475211391	-1.49168424777519	-1.78479420126321	-2.14399111993137	0	-2.13145240886042	0	0	-1.60966720327216	-1.49168424777519	0	0
