geneid	Day1.AM	Day1.PM	Day2.AM	Day2.PM
4524883	1.39825	-3.7387	0.95802	-2.01844
4524884	1.03193	-1.45108	0.56188	-0.2368
4524885	1.72307	-1.79274	2.314	-1.99854
4524886	2.54237	-2.99354	2.91857	-3.63097
4524887	2.0235	-2.40021	2.64111	-1.67527
4524888	1.62053	-1.45881	2.25129	-2.61811
4524889	2.08997	1.02114	0.0163	1.90692
4524890	3.31669	0.5389	-0.6528	0.2842
4524891	1.08134	0.63287	-0.32595	2.03157
4524892	-1.03439	0.02522	-0.61582	1.70679
4524893	0.68897	0.38617	-0.98629	5.25513
4524894	1.17614	1.02132	-0.2141	2.85787
4524895	2.12891	-1.90248	1.12681	-1.77162
7441701	1.86642	-0.22453	0.96431	-2.00958
7441702	-0.14468	0.49624	0.95991	0.88541
7441703	-2.34626	0.1767	-1.45779	-0.15544
7441704	-2.36272	0.3254	-0.12765	-0.00447
7441705	1.77369	-0.34648	0.14141	-1.50711
7441706	3.08285	-0.20583	0.32801	0.11765
7441707	1.72185	-0.70266	0.02803	-2.36217
7441708	-3.28066	0.83736	-1.42694	0.95718
7441709	-2.95862	2.56736	0.10124	0.60478
7441712	1.87832	-0.1746	-0.81319	-0.36644
7441714	2.49453	-0.99894	0.13855	-1.76506
7441715	-2.16636	-0.91192	-0.43722	0.35825
7441716	-2.41078	0.55949	0.29209	-0.06211
7441717	-2.75914	1.49097	-1.86948	1.10161
7441718	0.0569	-0.53552	0.35491	-1.38224
7441721	1.6463	-2.77003	0.24553	-2.05759
7441722	0.6227	0.08481	0.0095	0.13731
7441723	2.83376	-1.56293	2.30637	-2.064
7441730	1.06546	-0.7471	0.59012	-1.13903
7441731	-1.20753	2.59558	-1.41971	1.40197
7441732	0.77203	0.1654	-0.91458	0.97844
7441733	-0.06864	-0.38751	-0.11287	-0.98489
7441734	0.57331	1.03033	0.42742	1.91327
7441735	0.61193	-0.55103	-0.87067	0.66225
7441736	-2.60572	0.79925	0.01329	0.98731
7441737	-1.90804	2.06183	-0.25591	1.2315
7441740	0.17618	-0.1722	0.28904	-0.65033
7441741	-1.4153	0.36655	-1.20199	0.13169
7441742	0.71091	-2.18944	0.76836	-2.35604
7441743	2.54969	-0.8476	0.59451	-3.16347
7441745	-3.92304	0.94567	-0.84584	0.90843
7441746	NA	NA	NA	NA
7441747	3.01678	-1.41069	0.82142	-0.56136
7441748	3.07372	-2.11537	1.2357	-4.00638
7441749	1.88092	0.29055	0.70356	-1.63472
7441750	-2.55846	2.04947	-0.85522	0.78586
7441751	-0.16949	1.36568	-0.56092	1.10739
7441752	5.09224	1.22717	-1.03468	-0.92257
7441753	2.31939	-5.99515	3.91196	-3.24141
7441754	-1.99944	0.29491	-1.58802	-0.81967
7441755	0.0685	-1.09026	0.68045	-1.04667
7441756	2.26285	-0.95688	1.69337	-0.89106
7441757	-1.1206	-0.76263	0.0465	-0.47225
7441761	-0.08585	0.43879	1.71213	0.2395
7441762	2.68511	-5.77003	3.6356	-4.10147
7441763	-1.61818	0.39114	-0.19995	0.8768
7441764	0.35853	0.21343	-0.32631	-0.85448
7441766	-1.41687	-1.04612	-0.25069	-0.25819
7441767	1.28122	0.68945	-1.75585	0.06789
7441768	-5.13069	0.39869	-0.31789	0.96886
7441771	-1.17175	1.04998	-0.86331	0.38273
7441772	0.89088	1.57566	-0.49519	1.51003
7441773	0.02974	-0.18646	0.14418	0.49625
7441775	2.02896	0.14654	0.25996	-2.27683
7441777	2.59723	1.18408	0.03872	0.95406
7441778	3.39046	1.04743	1.09482	-0.87447
7441779	0.01963	1.75577	-1.01637	1.58342
7441780	1.1197	-0.36054	0.6834	-0.9077
7441781	NA	NA	NA	NA
7441782	NA	NA	NA	NA
